date,day_type,day_move,direction,entry_spot,exit_spot,entry_minute,exit_minute,hold_min,underlying_move,mfe,pnl,entry_cost,exit_reason,entry_score,entry_state
2026-01-05,MODERATE_TREND,43.399999999999636,BEARISH,6901.66,6914.02,605,684,79,-12.36,2.23,-12.57,17.06,STOP_HIT,35,NONE
2026-01-05,MODERATE_TREND,43.399999999999636,BEARISH,6907.2,6904.67,797,799,2,2.53,2.53,-6.32,12.04,THESIS_FLIP,60,BREAKOUT
2026-01-05,MODERATE_TREND,43.399999999999636,BULLISH,6907.82,6904.76,805,945,140,-3.06,6.27,-11.5,11.78,EOD_CLOSE,50,ACCELERATING
2026-01-06,MODERATE_TREND,43.539999999999964,BEARISH,6929.75,6924.07,623,638,15,5.68,5.68,-6.05,16.66,THESIS_FLIP,50,ACCELERATING
2026-01-06,MODERATE_TREND,43.539999999999964,BULLISH,6926.84,6914.42,639,657,18,-12.42,0.0,-11.54,16.29,STOP_HIT,40,ACCELERATING
2026-01-06,MODERATE_TREND,43.539999999999964,BULLISH,6913.89,6933.99,672,756,84,20.1,20.1,8.3,15.51,TARGET_HIT,35,AT_CONTACT
2026-01-06,MODERATE_TREND,43.539999999999964,BULLISH,6935.56,6943.91,774,900,126,8.35,11.56,-2.85,12.76,POWER_HOUR_TRIM,50,BREAKOUT
2026-01-09,MODERATE_TREND,47.18000000000029,BEARISH,6939.82,6918.01,600,609,9,21.81,21.81,9.83,17.17,TARGET_HIT,40,ACCELERATING
2026-01-09,MODERATE_TREND,47.18000000000029,BEARISH,6918.01,6930.59,609,613,4,-12.58,0.0,-11.82,16.97,STOP_HIT,65,AT_CONTACT
2026-01-09,MODERATE_TREND,47.18000000000029,BEARISH,6937.08,6950.09,614,625,11,-13.01,0.69,-11.81,16.86,STOP_HIT,35,NONE
2026-01-09,MODERATE_TREND,47.18000000000029,BEARISH,6956.26,6949.73,628,642,14,6.53,6.53,-5.13,16.55,THESIS_FLIP,35,ACCELERATING
2026-01-09,MODERATE_TREND,47.18000000000029,BULLISH,6942.59,6963.24,647,711,64,20.65,20.65,8.75,16.11,TARGET_HIT,35,ACCELERATING
2026-01-09,MODERATE_TREND,47.18000000000029,BULLISH,6963.24,6974.54,711,900,189,11.3,13.96,-1.67,14.53,POWER_HOUR_TRIM,55,AT_CONTACT
2026-01-14,MODERATE_TREND,-38.32999999999993,BULLISH,6925.62,6912.46,613,630,17,-13.16,3.76,-11.88,16.88,STOP_HIT,40,AT_CONTACT
2026-01-14,MODERATE_TREND,-38.32999999999993,BULLISH,6914.6,6916.52,688,689,1,1.92,1.92,-8.76,15.12,THESIS_FLIP,45,BREAKOUT
2026-01-14,MODERATE_TREND,-38.32999999999993,BEARISH,6914.35,6892.99,693,708,15,21.36,21.36,10.61,14.99,TARGET_HIT,50,ACCELERATING
2026-01-21,STRONG_TREND,78.86000000000058,BEARISH,6846.37,6861.92,609,634,25,-15.55,4.01,-12.01,16.97,STOP_HIT,40,ACCELERATING
2026-01-21,STRONG_TREND,78.86000000000058,BEARISH,6821.52,6819.53,726,740,14,1.99,15.27,-8.24,14.13,TRAIL_EXIT,40,BREAKOUT
2026-01-21,STRONG_TREND,78.86000000000058,BEARISH,6814.08,6828.21,753,775,22,-14.13,0.0,-9.89,13.38,STOP_HIT,40,BREAKOUT
2026-01-21,STRONG_TREND,78.86000000000058,BEARISH,6821.86,6821.94,782,791,9,-0.08,10.81,-9.22,12.52,TRAIL_EXIT,35,ACCELERATING
2026-01-21,STRONG_TREND,78.86000000000058,BEARISH,6823.72,6835.96,797,831,34,-12.24,4.4,-9.29,12.04,STOP_HIT,40,ACCELERATING
2026-02-02,MODERATE_TREND,39.3100000000004,BULLISH,6948.52,6969.88,601,612,11,21.36,21.36,9.38,17.15,TARGET_HIT,35,NONE
2026-02-02,MODERATE_TREND,39.3100000000004,BULLISH,6969.88,6971.76,612,644,32,1.88,10.53,-10.15,16.9,TRAIL_EXIT,40,AT_CONTACT
2026-02-02,MODERATE_TREND,39.3100000000004,BULLISH,6973.58,6989.25,654,900,246,15.67,17.88,1.28,15.94,POWER_HOUR_TRIM,45,AT_CONTACT
2026-02-03,MODERATE_TREND,-58.25999999999931,BEARISH,6956.33,6954.8,600,606,6,1.53,10.16,-10.42,17.17,TRAIL_EXIT,70,ACCELERATING
2026-02-03,MODERATE_TREND,-58.25999999999931,BEARISH,6954.8,6931.78,606,625,19,23.02,23.02,11.03,17.04,TARGET_HIT,35,NONE
2026-02-03,MODERATE_TREND,-58.25999999999931,BEARISH,6931.78,6944.65,625,627,2,-12.87,0.0,-11.59,16.61,STOP_HIT,70,BREAKOUT
2026-02-03,MODERATE_TREND,-58.25999999999931,BEARISH,6943.41,6940.67,632,648,16,2.74,11.09,-8.88,16.45,TRAIL_EXIT,35,AT_CONTACT
2026-02-03,MODERATE_TREND,-58.25999999999931,BEARISH,6948.69,6927.94,655,694,39,20.75,20.75,9.22,15.92,TARGET_HIT,60,ACCELERATING
2026-02-03,MODERATE_TREND,-58.25999999999931,BEARISH,6927.94,6906.89,694,753,59,21.05,21.05,9.83,14.97,TARGET_HIT,60,BREAKOUT
2026-02-04,MODERATE_TREND,-34.13000000000011,BEARISH,6912.13,6924.26,611,625,14,-12.13,4.86,-11.88,16.93,STOP_HIT,35,NONE
2026-02-04,MODERATE_TREND,-34.13000000000011,BEARISH,6919.48,6899.23,629,637,8,20.25,20.25,8.66,16.52,TARGET_HIT,45,ACCELERATING
2026-02-04,MODERATE_TREND,-34.13000000000011,BEARISH,6899.23,6914.83,637,640,3,-15.6,1.7,-11.43,16.34,STOP_HIT,70,BREAKOUT
2026-02-04,MODERATE_TREND,-34.13000000000011,BEARISH,6916.18,6895.31,646,663,17,20.87,20.87,9.43,16.13,TARGET_HIT,50,ACCELERATING
2026-02-04,MODERATE_TREND,-34.13000000000011,BEARISH,6895.31,6875.03,663,706,43,20.28,20.28,8.81,15.73,TARGET_HIT,70,BREAKOUT
2026-02-04,MODERATE_TREND,-34.13000000000011,BEARISH,6875.03,6887.53,706,720,14,-12.5,9.82,-10.54,14.66,STOP_HIT,70,BREAKOUT
2026-02-04,MODERATE_TREND,-34.13000000000011,BEARISH,6881.01,6859.45,732,748,16,21.56,21.56,11.4,13.97,TARGET_HIT,40,BREAKOUT
2026-02-04,MODERATE_TREND,-34.13000000000011,BEARISH,6868.54,6866.32,843,851,8,2.22,11.31,-5.76,10.43,TRAIL_EXIT,35,ACCELERATING
2026-02-09,MODERATE_TREND,35.1899999999996,BULLISH,6927.6,6947.91,600,620,20,20.31,20.31,8.23,17.17,TARGET_HIT,40,ACCELERATING
2026-02-09,MODERATE_TREND,35.1899999999996,BULLISH,6947.91,6968.05,620,688,68,20.14,20.14,7.86,16.73,TARGET_HIT,80,BREAKOUT
2026-02-09,MODERATE_TREND,35.1899999999996,BULLISH,6978.46,6966.4,734,781,47,-12.06,0.0,-10.49,13.91,STOP_HIT,35,AT_CONTACT
2026-02-09,MODERATE_TREND,35.1899999999996,BULLISH,6970.72,6976.24,785,902,117,5.52,8.91,-5.39,12.42,POWER_HOUR_TRIM,45,AT_CONTACT
2026-02-12,STRONG_TREND,-107.57999999999993,BULLISH,6946.8,6929.99,613,639,26,-16.81,6.2,-11.96,16.88,STOP_HIT,60,ACCELERATING
2026-02-18,MODERATE_TREND,36.76999999999953,BULLISH,6890.23,6877.96,843,872,29,-12.27,0.36,-8.33,10.43,STOP_HIT,35,NONE
2026-02-20,MODERATE_TREND,44.50999999999931,BEARISH,6891.6,6889.1,625,640,15,2.5,17.71,-9.2,16.61,TRAIL_EXIT,40,ACCELERATING
2026-02-20,MODERATE_TREND,44.50999999999931,BEARISH,6884.33,6897.61,643,646,3,-13.28,0.0,-11.35,16.2,STOP_HIT,35,ACCELERATING
2026-02-20,MODERATE_TREND,44.50999999999931,BULLISH,6888.78,6889.46,696,730,34,0.68,18.29,-10.23,14.92,TRAIL_EXIT,35,ACCELERATING
2026-02-20,MODERATE_TREND,44.50999999999931,BEARISH,6889.07,6902.16,784,822,38,-13.09,9.45,-9.57,12.45,STOP_HIT,35,AT_CONTACT
2026-02-20,MODERATE_TREND,44.50999999999931,BEARISH,6906.27,6904.73,847,853,6,1.54,1.54,-6.32,10.28,THESIS_FLIP,70,BREAKOUT
2026-02-20,MODERATE_TREND,44.50999999999931,BULLISH,6903.47,6906.02,862,945,83,2.55,4.26,-6.85,9.67,EOD_CLOSE,50,ACCELERATING
2026-02-23,STRONG_TREND,-72.69999999999982,BEARISH,6881.83,6859.31,600,629,29,22.52,22.52,10.36,17.17,TARGET_HIT,40,AT_CONTACT
2026-02-23,STRONG_TREND,-72.69999999999982,BEARISH,6861.59,6840.78,631,657,26,20.81,20.81,9.08,16.48,TARGET_HIT,45,NONE
2026-02-24,MODERATE_TREND,53.289999999999964,BEARISH,6849.81,6863.49,616,622,6,-13.68,0.0,-11.74,16.81,STOP_HIT,45,AT_CONTACT
2026-02-24,MODERATE_TREND,53.289999999999964,BEARISH,6863.49,6875.53,622,628,6,-12.04,0.0,-11.66,16.68,STOP_HIT,35,NONE
2026-02-24,MODERATE_TREND,53.289999999999964,BEARISH,6875.53,6889.7,628,731,103,-14.17,6.91,-12.55,16.55,STOP_HIT,35,ACCELERATING
2026-02-24,MODERATE_TREND,53.289999999999964,BEARISH,6887.43,6883.46,766,858,92,3.97,3.97,-6.7,13.0,THESIS_FLIP,40,BREAKOUT
2026-02-25,MODERATE_TREND,57.39000000000033,BULLISH,6929.62,6949.81,602,879,277,20.19,20.19,5.04,17.12,TARGET_HIT,55,ACCELERATING
2026-02-26,MODERATE_TREND,-38.52000000000044,BULLISH,6921.26,6907.98,605,614,9,-13.28,0.0,-11.91,17.06,STOP_HIT,40,ACCELERATING
2026-02-26,MODERATE_TREND,-38.52000000000044,BULLISH,6897.02,6884.63,659,705,46,-12.39,7.92,-11.55,15.83,STOP_HIT,65,AT_CONTACT
2026-02-26,MODERATE_TREND,-38.52000000000044,BEARISH,6904.86,6908.68,867,945,78,-3.82,3.1,-9.18,9.46,EOD_CLOSE,45,AT_CONTACT
2026-03-20,STRONG_TREND,-116.06999999999971,BEARISH,6558.76,6558.16,600,635,35,0.6,16.14,-11.61,17.17,TRAIL_EXIT,70,ACCELERATING
2026-03-20,STRONG_TREND,-116.06999999999971,BEARISH,6557.57,6554.9,749,776,27,2.67,10.59,-7.34,13.49,TRAIL_EXIT,40,ACCELERATING
